# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.35841763,0.19562955,0,7722.5693,-0.002260948,,
0,0.35500976,0.194874,0,7728.409,0.00047878947,,
0,0.3516156,0.19405915,0,7734.405,-0.0022224456,,
0,0.3482362,0.19318517,0,7740.557,-0.0009008273,,
0,0.3448725,0.19225235,0,7746.859,-0.0034838812,,
0,0.34152564,0.19126096,0,7753.3115,0.005412751,,
0,0.3381966,0.1902113,0,7759.911,-0.00089202146,,
0,0.33488637,0.18910372,0,7766.6562,-0.0043342086,,
0,0.331596,0.18793853,0,7773.5474,-0.009433465,,
0,0.3283264,0.1867161,0,7780.58,0.002727195,,
0,0.32507864,0.18543677,0,7787.7515,-0.004054206,,
0,0.3218538,0.18410097,0,7795.0605,-0.0011502195,,
0,0.31865266,0.1827091,0,7802.5054,-0.0071421317,,
0,0.31547636,0.18126155,0,7810.0845,-0.00074628246,,
0,0.31232578,0.1797588,0,7817.7935,-0.0029777111,,
0,0.3092019,0.17820132,0,7825.63,-0.0037633057,,
0,0.30610567,0.17658953,0,7833.594,-0.000105502884,,
0,0.3030381,0.17492396,0,7841.68,-0.0063126255,,
0,0.3,0.17320508,0,7849.888,-0.0031385368,,
0,0.2969924,0.17143345,0,7858.215,0.0011005948,,
0,0.29401615,0.16960962,0,7866.6577,-0.004466617,,
0,0.2910722,0.16773412,0,7875.2144,-0.0065098833,,
0,0.28816143,0.16580752,0,7883.8813,0.0064916736,,
0,0.2852847,0.1638304,0,7892.6562,-0.0029857524,,
0,0.282443,0.1618034,0,7901.537,-0.0023818312,,
0,0.279637,0.1597271,0,7910.521,-0.0015164079,,
0,0.27686772,0.15760216,0,7919.605,-0.0074207415,,
0,0.27413592,0.1554292,0,7928.787,0.0028200508,,
0,0.27144247,0.1532089,0,7938.063,-0.0044151973,,
0,0.2687882,0.15094192,0,7947.43,-0.008949711,,
0,0.2661739,0.14862898,0,7956.8877,-0.0042345673,,
0,0.26360032,0.14627072,0,7966.43,-0.0065086125,,
0,0.2610683,0.14386795,0,7976.0566,-0.0033838546,,
0,0.25857863,0.14142136,0,7985.764,0.001092672,,
0,0.25613204,0.13893168,0,7995.546,0.00086536,,
0,0.25372925,0.13639967,0,8005.404,-0.0035359396,,
0,0.25137106,0.13382614,0,8015.333,0.0016803988,,
0,0.24905808,0.13121179,0,8025.331,-0.004274557,,
0,0.24679112,0.12855752,0,8035.393,-0.011664011,,
0,0.24457078,0.12586407,0,8045.518,0.0021358442,,
0,0.24239784,0.123132296,0,8055.701,-0.008163843,,
0,0.24027291,0.12036302,0,8065.942,0.0027104863,,
0,0.2381966,0.11755705,0,8076.2334,-0.0008829213,,
0,0.23616959,0.114715286,0,8086.576,-0.0016834867,,
0,0.23419248,0.11183858,0,8096.966,0.0042471727,,
0,0.23226589,0.10892781,0,8107.3965,-0.004826765,,
0,0.23039038,0.10598386,0,8117.8687,-0.0032245098,,
0,0.22856653,0.10300761,0,8128.377,-0.00734736,,
0,0.22679493,0.1,0,8138.921,-0.0027671696,,
0,0.22507605,0.09696192,0,8149.4946,-0.0045542335,,
0,0.22341047,0.09389432,0,8160.097,0.00658047,,
0,0.22179869,0.09079811,0,8170.721,-0.0053675007,,
0,0.22024119,0.08767424,0,8181.368,-0.0065604933,,
0,0.21873845,0.084523655,0,8192.03,-0.0012659241,,
0,0.21729091,0.08134734,0,8202.71,-0.0010374418,,
0,0.21589904,0.07814622,0,8213.398,-0.002695737,,
0,0.21456324,0.07492131,0,8224.096,-0.00481452,,
0,0.2132839,0.071673594,0,8234.799,0.0013935643,,
